time,gFx,gFy,gFz,TgF
0.004487538,-0.9739,0.0613,0.2611,1.010
0.005817154,-0.9790,0.0660,0.2669,1.017
0.007062384,-0.9798,0.0641,0.2709,1.019
0.008224077,-0.9819,0.0658,0.2718,1.021
0.009191538,-0.9802,0.0660,0.2711,1.019
0.009902538,-0.9819,0.0648,0.2648,1.019
0.017171923,-0.9754,0.0648,0.2606,1.012
0.018114308,-0.9795,0.0675,0.2657,1.017
0.033163692,-0.9786,0.0665,0.2689,1.017
0.034088769,-0.9810,0.0675,0.2706,1.020
0.050440923,-0.9861,0.0694,0.2674,1.024
0.051439231,-0.9825,0.0714,0.2592,1.019
0.052121846,-0.9807,0.0711,0.2496,1.014
0.052622384,-0.9822,0.0680,0.2471,1.015
0.057201846,-0.9773,0.0697,0.2487,1.011
0.058258308,-0.9758,0.0646,0.2576,1.011
0.067213077,-0.9776,0.0675,0.2604,1.014
0.068123384,-0.9805,0.0675,0.2694,1.019
0.077690769,-0.9766,0.0650,0.2692,1.015
0.079097,-0.9744,0.0613,0.2604,1.010
0.087916077,-0.9786,0.0616,0.2631,1.015
0.089705846,-0.9793,0.0655,0.2582,1.015
0.099857846,-0.9742,0.0621,0.2641,1.011
0.101174231,-0.9719,0.0641,0.2631,1.009
0.108256,-0.9712,0.0643,0.2680,1.010
0.109549846,-0.9730,0.0670,0.2667,1.011
0.118519769,-0.9766,0.0716,0.2665,1.015
0.119689769,-0.9773,0.0736,0.2629,1.015
0.129054461,-0.9793,0.0704,0.2518,1.014
0.130497154,-0.9832,0.0704,0.2423,1.015
0.138918,-0.9814,0.0741,0.2406,1.013
0.140071077,-0.9742,0.0714,0.2580,1.010
0.152941846,-0.9730,0.0638,0.2657,1.011
0.153814,-0.9727,0.0702,0.2743,1.013
0.159669461,-0.9790,0.0678,0.2674,1.017
0.161038538,-0.9835,0.0714,0.2678,1.022
0.169379846,-0.9851,0.0699,0.2596,1.021
0.170284769,-0.9790,0.0606,0.2515,1.013
0.183719846,-0.9737,0.0613,0.2524,1.008
0.185219615,-0.9847,0.0672,0.2636,1.022
0.190272077,-0.9891,0.0667,0.2687,1.027
0.191377154,-0.9915,0.0655,0.2758,1.031
0.200594231,-0.9868,0.0660,0.2711,1.026
0.202093923,-0.9868,0.0658,0.2548,1.021
0.210674,-0.9783,0.0734,0.2450,1.011
0.212031923,-0.9786,0.0716,0.2459,1.012
0.220652615,-0.9854,0.0716,0.2526,1.020
0.221879154,-0.9746,0.0694,0.2594,1.011
0.236895154,-0.9709,0.0736,0.2555,1.007
0.238111461,-0.9705,0.0729,0.2599,1.007
0.241099308,-0.9817,0.0734,0.2608,1.018
0.242153,-0.9754,0.0709,0.2582,1.011
0.250876308,-0.9781,0.0697,0.2550,1.013
0.251876615,-0.9766,0.0724,0.2540,1.012
0.261911923,-0.9793,0.0709,0.2587,1.015
0.262947384,-0.9758,0.0734,0.2641,1.014
0.271461154,-0.9754,0.0706,0.2682,1.014
0.272576769,-0.9724,0.0694,0.2638,1.010
0.283464154,-0.9749,0.0724,0.2569,1.011
0.284975846,-0.9695,0.0711,0.2538,1.005
0.291951384,-0.9690,0.0650,0.2459,1.002
0.293255,-0.9758,0.0636,0.2435,1.008
0.302144384,-0.9802,0.0662,0.2426,1.012
0.303337769,-0.9854,0.0687,0.2447,1.018
0.317165692,-0.9819,0.0716,0.2518,1.016
0.318910308,-0.9825,0.0690,0.2582,1.018
0.322762077,-0.9835,0.0678,0.2589,1.019
0.324104923,-0.9866,0.0592,0.2613,1.022
0.335914077,-0.9905,0.0641,0.2596,1.026
0.337734308,-0.9861,0.0634,0.2482,1.019
0.343068384,-0.9814,0.0618,0.2411,1.013
0.344134231,-0.9863,0.0621,0.2435,1.018
0.353021538,-0.9854,0.0690,0.2552,1.020
0.354246,-0.9795,0.0662,0.2613,1.016
0.366974923,-0.9781,0.0604,0.2662,1.015
0.368706308,-0.9742,0.0599,0.2713,1.013
0.374023384,-0.9770,0.0599,0.2721,1.016
0.374872461,-0.9851,0.0692,0.2620,1.022
0.383713923,-0.9861,0.0709,0.2475,1.019
0.385538308,-0.9714,0.0704,0.2528,1.006
0.394104538,-0.9719,0.0665,0.2543,1.007
0.395280923,-0.9690,0.0709,0.2589,1.005
0.404124538,-0.9790,0.0694,0.2648,1.017
0.405287692,-0.9790,0.0697,0.2623,1.016
0.418715846,-0.9702,0.0699,0.2540,1.005
0.420550923,-0.9651,0.0626,0.2557,1.000
0.424666461,-0.9705,0.0565,0.2567,1.005
0.425899692,-0.9695,0.0567,0.2650,1.007
0.434809154,-0.9697,0.0604,0.2694,1.008
0.436352308,-0.9756,0.0565,0.2697,1.014
0.445178384,-0.9744,0.0567,0.2669,1.012
0.446613846,-0.9697,0.0555,0.2657,1.007
0.455459077,-0.9670,0.0557,0.2687,1.005
0.456950846,-0.9798,0.0562,0.2669,1.017
0.466252615,-0.9795,0.0553,0.2713,1.018
0.467973769,-0.9756,0.0594,0.2731,1.015
0.475797077,-0.9776,0.0572,0.2636,1.014
